tweet_tokens,pos_tags,label
Plant City is babysitting NYC palm trees for the winter . Crap like this cracks me up ! http://t.co/BmJAFvCA,"N N V V ^ N N P D N , N P O V O T , U",neutral
PRIMAVERA FIXTURE LIST - Milan Primavera begin their campaign on August 25th at Cesena and end it on April 27th at S ... http://t.co/VPaTcHhX,"^ ^ N , ^ ^ V D N P ^ $ P ^ & V O P ^ $ P G ~ U",neutral
really bored of this host on Super Sunday doing nothing but talk and rave about Man Utd #BiasPrick,R A P D N P ^ ^ V N & V & V P N ^ #,negative
"still have no costume for Saturday @TheKingcrawlers - if dead rock stars is on , John Belushi it is in Juliet Jake Blues guise","R V D N P ^ @ , P A N N V P , ^ ^ O V P ^ ^ ^ N",neutral
@kylepetty : Pit road speed limits are the major cause of fuel mileage racing . The King's 7th Daytona 500 win is the only mileage race prior,"@ ~ N N N N V D A P P N N N , D Z A ^ $ N V D A N N R",neutral
If I said Lady Gaga is at Britney Spears ' concert tonight .... would you hold it against me ??? #BritneyGaga #clicheHIAMplug,"P O V ^ ^ V P ^ ^ , N N , V O V O P O , # #",positive
"After an almost 60-year career , Lloyd Robertson broadcasts his last @CTVNationalNews Sept 1 , he joins us next","P D R A N , ^ ^ N D A @ ^ $ , O V O A",positive
"World Bank earmarks $245 million for Myanmar , outlines 18-month work plan : The World Bank said on Thursday it ha ... http://t.co/z69LmWDT","^ ^ ^ $ $ P ^ , V A N N , D ^ ^ V P ^ O ! ~ U",neutral
Celebrity Juice tonight 10pm itv2 . Hurrraaaaah ! its a Back to school special,"N N R $ $ , ! , L D R P N A",neutral
"Whew , long day unpacking the Turner house . Now a movie and knitting with my honey . How's your Saturday going ?","! , A N V D ^ N , R D N & V P D N , L D ^ V ,",neutral
The Late-October Best Picture Oscars Predictions You've Been Waiting For : Coverage of the Oscars has reache ... http://t.co/jOeYN9RZ,"D A A N ^ N L V V P , N P D ^ V V , U",neutral
Roma enjoying a run in the sun http://t.co/mI6hCu86,^ V D N P D N U,positive
@maejae0510 dis u download all the epi with Eng Sub .. may I know from which website @MissFarahSawa,"@ V O V X D N P ^ ^ , V O V P D N @",neutral
"FAQ : What is ' skeuomorphic design ' and the executive shakeup at Apple : SAN FRANCISCO , CA - MARCH 07 : Apple CEO ... http://t.co/YCvoPl98","N , O V , N N , & D N N P ^ , ^ ^ , ^ , ^ $ , ^ N ~ U",objective
@Kirsty_182 my older brother is going to see Tenacious D on Sunday and Dave Grohl is going to be playing the drums there !!!!!!!,"@ D A N V V P V ^ ^ P ^ & ^ ^ V V P V V D N R ,",negative
"Photoset : For the adorable and loveable man , Song Joongki , Happy 27th Birthday ! Despite your looks not ... http://t.co/ezhMRagJ","N , P D A & A N , N ^ , A A N , P D V R ~ U",positive
The Tri-Cities Fever beat the Wichita Wild Friday night to win the Intense Conference Championship for the second ... http://t.co/GKvG7GbX,"D ^ N V D ^ ^ ^ N P V D A N N P D A , U",positive
"when the best talent is on internship ...... "" @temasekpoly : Sony is coming to TP this Friday to look for student talents ! ""","R D A N V P N , , @ ~ ^ V V P V D ^ P V P N N , ,",positive
@MeganWitmer that's crazy . I'm more jealous of u going to Joe Pa's grave ! I was sad Saturday when I walked past where the statue should be :(,"@ L A , L R A P O V P ^ Z N , O V A ^ R O V A R D N V V E",negative
Mack sure you check out @carolinakidz1 and @Trilla_Guapo this Saturday @ Club Bodi,^ A O V T @ & @ D ^ P ^ ^,objective
I may love asians from Japan ! But I have a girl that I'm gonna marry . Believe it ! She's a ghetto ass short girl that's clumsy as fuck lol .,"O V V ^ P ^ , & O V D N P L V V , V O , L D A N A N L A P N ! ,",negative
"My Social Media Week starts tomorrow , kicking off with ' Socialising the Internet of Things ' . Sounds intriguing . #smwldn","D A N N V N , V T P , V D N P N , , V A , #",positive
Great practice session with the @ConceptOfficial boys can not wait for Friday with @example & Sunday in Leicester Square Theatre !!,"A N N P D @ N V R V P ^ P @ & ^ P ^ ^ ^ ,",positive
"Perfect Little Planet , the Challenger Learning Center of Tallahassee's new planetarium show premieres tomorrow !... http://t.co/OSgAicW3","A A N , D ^ ^ ^ P Z A N N N N , U",neutral
"If ESPN has a Hank Williams "" Are You Ready For Some Football ? "" song for tonight , I might pass out with happiness .","P ^ V D ^ ^ , V O A P D N , , N P N , O V V T P N ,",neutral
Procrastinating . I need to get ready for the 6th district Chicago Police Rally Against Violence . Chi-town cheer will be performing . King dr.,"V , O V P V A P D A N ^ ^ N P N , ^ N V V V , ^ ^",positive
"Almost forgot about Celebrity Juice tonight , oh my . What time is it on at guys ?","R V P N N N , ! ! , O N V O P P N ,",positive
@Dasha_vu its Ravens 1st !.... then Jets ... then Eagles .... get it right ;) lol,"@ L ^ A , R ^ , R ^ , V O R E !",neutral
"@pvoelkel In your defense , my love of Dickens ' original may be regarded unnecessarily high in my eyes because of the history I have with it","@ P D N , D N P ^ , A V V V R A P D N P P D N O V P O",neutral
"ENough muslim countries lobbying in the us for today , i'm watching ' twilight saga : eclipse ' to better understand girls )))","R A N V P D O P N , L V , N N , V , P R V N ,",neutral
"Mamata asks parties to oppose cooking gas cylinder price hike : Kolkata , Nov 1 ( IANS ) In the wake of yet another ... http://t.co/PQOJXs1a","^ V N P V V N N N N , ^ , ^ $ , ~ , P D N P R D , U",neutral
Going to McAlester today ... Bama bound early in the am ! Torn !,"V P ^ N , ^ N A P D N , V ,",objective
Don't miss the FREE Sunset Blues Concert tonight from 5- 7:00 pm with March Fourth Marching Band in Mountain ... http://t.co/ny3MFCHi,"V V D A N N N N P $ $ N P ^ ^ ^ ^ P N , U",objective
"@natalieeelouise one word-DOWNLOAD !!!!! you and your girlfriend , sat watching Rammstein , you know you want to . You can do it","@ $ N , O & D N , V V ^ , O V O V P , O V V O",neutral
